Constituency,PAP,WP,PSP,SDP,RDU,SDA,SPP,NSP,PAR,PPP,SUP,IndependentRM,IndependentMB,Incumbent,Contest
ALJUNIED GRC,"Ang Zi Yang, Adrian -- 
Chan Hui Yuh -- 
Faisal Abdul Aziz -- 
Jagathishwaran Rajo -- 
Liu Keyuan, Daniel","Fadli Fawzi -- 
Gerald Giam Yean Song -- 
Sylvia Lim Swee Lian -- 
Pritam Singh -- 
Kenneth Tiong Boon Kiat",0,0,0,0,0,0,0,0,0,0,0,WP,2
ANG MO KIO GRC,"Darryl David -- 
Jasmin Lau -- 
Lee Hsien Loong -- 
Victor Lye -- 
Nadia Ahmad Samdin",0,0,0,0,0,0,0,0,"Heng Zheng Dao -- 
Ho Yuen Liung Martinn -- 
Lee Yuru, Samuel -- 
Lim Lian Chin -- 
Thaddeus Shamraj S/O Thomas Selvaraj","Vincent Ng Kian Guan -- 
Nigel Ng -- 
Noraini Yunus -- 
Ridhuan Chandran -- 
Zhu Laicheng",0,0,PAP,3
BUKIT GOMBAK SMC,Low Yen Ling,0,Harish Pillay,0,0,0,0,0,0,0,0,0,0,PAP,2
BUKIT PANJANG SMC,Liang Eng Hwa,0,0,Paul Anantharajah Tambyah,0,0,0,0,0,0,0,0,0,PAP,2
BISHAN-TOA PAYOH GRC,"Cai Yinzhou -- 
Chee Hong Tat -- 
Elysa Chen -- 
Saktiandi Supaat",0,0,0,0,0,"Steve Chia -- 
Melvyn Chiu -- 
Lim Rui Xian -- 
Norhakim",0,0,0,0,0,0,PAP,2
CHUA CHU KANG GRC,"Choo Pei Ling -- 
Jeffrey Siow -- 
Tan See Leng -- 
Zhulkarnain Abdul Rahim",0,"A'bas Bin Kasmani -- 
Wendy Low Wei Ling -- 
Lawrence Pek Eng Leong -- 
S Nallakaruppan",0,0,0,0,0,0,0,0,0,0,PAP,2
EAST COAST GRC,"Dinesh Vasu Dash -- 
Hazlina Binte Abdul Halim -- 
Tan Kiat How -- 
Tan Soon Neo Jessica -- 
Tong Chun Fai Edwin Charles","Koh Kim Kui, Nathaniel -- 
Kuan Hon Whye, Jasper -- 
Paris V Parameswari -- 
Sufyan Mikhail Putra Mohd Kamil -- 
Yee Jenn Jong",0,0,0,0,0,0,0,0,0,0,0,PAP,2
HOUGANG SMC,Marshall Lim Yu Hui,Dennis Tan Lip Fong,0,0,0,0,0,0,0,0,0,0,0,WP,2
HOLLAND-BUKIT TIMAH GRC,"Edward Chia Bing Hui -- 
Christopher De Souza -- 
Sim Ann -- 
Vivian Balakrishnan",0,0,0,"Mohd Fazli Bin Talip -- 
Nizar Subair -- 
Sharad Kumar -- 
Emily Woo",0,0,0,0,0,0,0,0,PAP,2
JALAN BESAR GRC,"Shawn Loh Shou-En -- 
Denise Phua Lay Peng -- 
Mrs Josephine Teo -- 
Wan Rizal",0,0,0,0,0,0,0,"Chiu Shin Kong -- 
Mohamad Hamim Bin Aliyas -- 
Sarina Binte Abu Hassan -- 
Vigneswari D/O V Ramachandran",0,0,0,0,PAP,2
